2001:4b98:dc2:41:216:3eff:fece:3e55 #dns.hostux.net
2001:4ba0:cafe:3d2::1 #ns2.opennameserver.org
2001:4ba0:cafe:745::19 #dns.expert
2001:4ca0:200:3:200:5efe:8d54:4502 #esel.stusta.mhn.de
2001:4ca0:200:3:200:5efe:8d54:451d #muli.stusta.mhn.de
2001:550:5a00:5eb::db5:face #rdu01.dnscry.pt
2001:558:fd00:ca::5 #doh.xfinity.com
2001:558:fd00:ca::a #doh.xfinity.com
2001:558:fd00:ca::a #doh2.gslb2.xfinity.com
2001:558:fe21:6b:96:113:151:145 #dot.xfinity.com
2001:578:3f::30 #doh.cox.net
2001:578:3f::30 #dot.cox.net
2001:620:0:ff::2 #dns-cache.switch.ch
2001:620:0:ff::2 #dns.switch.ch
2001:620:0:ff::3 #dns-cache2.switch.ch
2001:620:0:ff::3 #dns.switch.ch
2001:620:0:ff::5c #switch.ch
2001:638:602:1181:dcad:beff:feef:14 #doh.ibr.cs.tu-bs.de
2001:638:708:20::20 #ines.zfn.uni-bremen.de
2001:648:2ffc:1225:a800:9ff:fe73:d148 #adguard.pancybertronics.com
2001:678:6d4:5080::3dea:109 #kiv01.dnscry.pt
2001:678:84:: #doh.lv
2001:678:84:: #doh.nic.lv
2001:678:8::3 #doh.dns4all.eu
2001:678:8::3 #doq.dns4all.eu
2001:678:8::64 #doq64.dns4all.eu
2001:678:ed0:f000:: #2.dnscrypt-cert.ffmuc.net
2001:678:ed0:f000:: #doh.ffmuc.net
2001:678:ed0:f000:: #dot.ffmuc.net
2001:67c:1400:800:53::1 #dns1.in-berlin.de
2001:67c:1400:800:53::2 #dns2.in-berlin.de
2001:67c:1401:2120::1 #dns.artikel10.org
2001:67c:21ec::53 #dnscache.e-utp.net
2001:67c:2268::100 #doh.datahata.by
2001:67c:2354:2::53 #dns.njal.la
2001:67c:27e4::35 #privacydns.go6lab.si
2001:67c:28a4:: #anycast.censurfridns.dk
2001:67c:28a4:: #anycast.censurfridns.nu
2001:67c:28a4:: #anycast.uncensoreddns.dk
2001:67c:28a4:: #anycast.uncensoreddns.org
2001:67c:930::1 #wikimedia-dns.org
2001:67c:a8:1:91:217:86:4 #dns.tls-data.de
2001:67c:bec:b:43a:1aff:feb1:eb5d #cph01.dnscry.pt
2001:6a8:3c80::16 #dns.belnet.be
2001:6a8:3c80:c000::53 #dns.belnet.be
2001:6b0:89::32:32:32 #resolver.sunet.se
2001:780:250:100::beaf #dns.lars-lehmann.net
2001:7b8:60a:1:213:136:13:36 #doh.kooman.org
2001:818:dceb:5100:211:32ff:feb5:b865 #siddeus.synology.me
2001:861:5081:5185::1100 #dns.octoworld.fr
2001:878:0:e000:82:e1:f4:a6 #deic-lgb.anycast.censurfridns.dk
2001:878:0:e000:82:e1:f4:a6 #deic-lgb.anycast.censurfridns.nu
2001:878:0:e000:82:e1:f4:a6 #deic-lgb.anycast.uncensoreddns.dk
2001:878:0:e000:82:e1:f4:a6 #deic-lgb.anycast.uncensoreddns.org
2001:878:0:e000:82:e2:a1:22 #deic-ore.anycast.censurfridns.dk
2001:878:0:e000:82:e2:a1:22 #deic-ore.anycast.censurfridns.nu
2001:878:0:e000:82:e2:a1:22 #deic-ore.anycast.uncensoreddns.org
2001:880:0:8::135 #clean.hadan-dns.de
2001:880:0:8::135 #ns2.hadan-dns.de
2001:8a0:dfeb:8100::2 #dns.qrtz.club
2001:8b0:24:24::24 #dns-tls.bitwiseshift.net
2001:8b0:836:900:978f:88ff:f46c:bd67 #dns.neilzone.co.uk
2001:8b0::2022 #dns.aa.net.uk
2001:8b0::2023 #dns.aa.net.uk
2001:8d8:100f:f000::25b #genscorp.es
2001:8d8:1801:10::1 #mydevpn.eu
2001:8d8:1801:80b9::1 #dns.it-pa.net
2001:910:800::12 #ns0.fdn.fr
2001:910:800::40 #ns1.fdn.fr
2001:9e8:4003:5b5e:6b4:feff:fe9b:eb1d #area51.mywire.org
2001:9e8:4039:7761:21a:8cff:fe43:9654 #adguard.bitteeinbyte.de
2001:a18:1::29 #dnspub.restena.lu
2001:a60::53:1 #dns.mnet-online.de
2001:a60::53:2 #dns.mnet-online.de
2001:b000:168::1 #dns.hinet.net
2001:b000:168::2 #dns.hinet.net
2001:b011:9805:42a1:c447:4754:c0ac:e40f #dns.ares-taiwan.com
2001:b011:d000:3efa:211:32ff:fe79:26cd #ihctw.synology.me
2001:b011:e608:2c5c:81ed:5671:45ca:9468 #router.ahzol.com
2001:b030:1416:ff01::bb #dns.tipsy.coffee
2001:ba0:267:ba00::1 #vpich.duckdns.org
2001:ba0:27f:2e00::1 #dns.mateo.ovh
2001:bc8:1640:35f1:dc00:ff:fe3a:abcb #doh.kel.pe
2001:bc8:255e:100::1 #dns.novg.net
2001:bc8:255e:200::1 #dns.novg.net
2001:bc8:710:1efa:dc00:ff:fe34:a339 #fr-dns1.bancuh.com
2001:bc8:710:1efb:dc00:ff:fe34:a1d7 #fr-dns2.bancuh.com
2001:de4::101 #dns.twnic.tw
2001:de4::102 #dns.twnic.tw
2001:df0:d240:aaaa:0:103:176:9898 #dns.isp.dhoho.net
2001:df0:f540:164::164 #dns1.gms.net.id
2001:df0:f540:165::165 #dns2.gms.net.id
2001:df1:801:a022::c4:a #hkg01.dnscry.pt
2001:df1:88c0:200::14 #bkk01.dnscry.pt
2001:df1:8f40:51::a #dac01.dnscry.pt
2001:df2:d40:29::2 #isb01.dnscry.pt
2001:df4:1840:9f::a #jhb01.dnscry.pt
2001:df4:4c0:1::10:8 #abpvn.org
2001:df4:4c0:1::10:8 #vn.dns.abpvn.com
2001:df4:adc1:31::a #dns.hakim.one
2001:e42:102:1806:160:16:208:173 #dns.yu.dev
2001:e68:5040:a7da:d8e7:f548:508b:6346 #fwgw.orangepipc.mywire.org
2002:4db1:8347:8000:cece:1eff:fe52:c133 #kiwifunke.duckdns.org
2003:180:2:4000:0:4:0:53 #dns.telekom.de
2003:180:2:7000:0:4:0:53 #dns.telekom.de
2003:180:2::4:0:53 #dns.telekom.de
2003:4:e0b0:102:0:4:0:53 #dns.t53.de
2003:5f:c010:1:212:185:200:25 #dns1.conne.net
2003:a:133:1500::4 #doh.kekew.info
2003:a:133:1500::4 #doh3.kekew.info
2003:a:133:1500::5 #doh.kekew.racing
2003:a:133:1500::6 #doh.kekew.info
2003:a:133:1500::6 #doh3.kekew.info
2003:a:133:1500::8 #doh3.kekew.info
2003:a:133:1501::4 #doh.kekew.info
2003:a:133:1501::4 #doh3.kekew.info
2003:a:133:1501::5 #doh.kekew.racing
2003:a:133:1501::6 #doh.kekew.info
2003:a:133:1501::6 #doh3.kekew.info
2003:a:133:1501::8 #doh3.kekew.info
2003:a:36f:4f00::1 #dns.faked.org
2003:a:64b:3b00::4 #doh.kekew.info
2003:a:64b:3b00::4 #doh3.kekew.info
2003:a:64b:3b00::5 #doh.kekew.racing
2003:a:64b:3b00::6 #doh.kekew.info
2003:a:64b:3b00::6 #doh3.kekew.info
2003:a:64b:3b00::8 #doh3.kekew.info
2003:a:64b:3b01::4 #doh.kekew.info
2003:a:64b:3b01::4 #doh3.kekew.info
2003:a:64b:3b01::5 #doh.kekew.racing
2003:a:64b:3b01::6 #doh.kekew.info
2003:a:64b:3b01::6 #doh3.kekew.info
2003:a:64b:3b01::8 #doh3.kekew.info
2003:a:812:5700::4 #doh.kekew.info
2003:a:812:5700::4 #doh3.kekew.info
2003:a:812:5700::5 #doh.kekew.racing
2003:a:812:5700::6 #doh.kekew.info
2003:a:812:5700::6 #doh3.kekew.info
2003:a:812:5700::8 #doh3.kekew.info
2003:a:812:5701::4 #doh.kekew.info
2003:a:812:5701::4 #doh3.kekew.info
2003:a:812:5701::5 #doh.kekew.racing
2003:a:812:5701::6 #doh.kekew.info
2003:a:812:5701::6 #doh3.kekew.info
2003:a:812:5701::8 #doh3.kekew.info
2003:a:b15:4500::1 #3dns.eu
2003:c1:571e:f400:dea6:32ff:fe79:a3c8 #frank-web.dedyn.io
2003:c7:1fff:b7e:3ea6:2fff:febd:eb68 #zuhause.webteufel.net
2003:e4:971e:2200::1 #dns.homenet.saschagaspar.net
2003:f8:97ff:1b38:f2b0:14ff:feb5:d1f4 #ueni.dyndns.org
2400:2410:95e0:5300:5e68:d555:4c80:b4f5 #zanty123456.myasustor.com
2400:3200::1 #dns.alidns.com
2400:3200::1 #doh.alidns.com
2400:3200::1 #doh1.alidns.com
2400:3200::1 #public.alidns.com
2400:3200::1 #public2.alidns.com
2400:3200::1 #public254.alidns.com
2400:3200::1 #public99.alidns.com
2400:3200:baba::1 #dns.alidns.com
2400:3200:baba::1 #doh.alidns.com
2400:3200:baba::1 #doh1.alidns.com
2400:3200:baba::1 #public.alidns.com
2400:3200:baba::1 #public2.alidns.com
2400:3200:baba::1 #public254.alidns.com
2400:3200:baba::1 #public99.alidns.com
2400:4052:3a00:d900:be24:11ff:fe2b:c18b #dns.soldier.terumi.club
2400:52e0:1a04::1310:1 #doh1.b-cdn.net
2400:52e0:1a04::1310:1 #doh2.b-cdn.net
2400:6180:0:d0::54:1001 #dns6.web.id
2400:6180:0:d0::5f73:4001 #doh.tiar.app
2400:6180:0:d0::5f73:4001 #dot.tiar.app
2400:6180:0:d0::f5:7001 #sg-dns2.bancuh.com
2400:6180:0:d0::f7:1001 #sg-dns1.bancuh.com
2400:6180:100:d0::4e0:6001 #do.shimul.me
2400:6180:100:d0::798:d001 #in-blr.doh.sb
2400:6180:100:d0::c592:1001 #dns.joindns4.in
2400:6180:100:d0::c7e3:6001 #dns.joindns4.in
2400:6ea0:0:11ae::adc4 #sgn01.dnscry.pt
2400:7060:2:100:564b:a5cc:e344:5ac9 #pi.daryllswer.net
2400:72a0::56:2 #dns.vietdns.vn
2400:72a0::56:23 #kids.vietdns.vn
2400:72a0::57:2 #dns.vietdns.vn
2400:72a0::57:23 #kids.vietdns.vn
2400:8500:1302:780:160:251:97:42 #dns.saneaki.com
2400:8500:1801:454:160:251:16:241 #muppy.pnamae.com
2400:8901::f03c:93ff:fe1b:d975 #dns.vaguthu.mv
2400:8902::f03c:91ff:feda:c514 #jp.tiar.app
2400:8902::f03c:92ff:fe3e:46cd #jp-dns1.bancuh.com
2400:8902::f03c:92ff:fe80:38b7 #dns.kuuhaku.moe
2400:8902::f03c:93ff:feb8:2f31 #dns.wang.art
2400:8902::f03c:95ff:fe59:27bc #dns.nodoa.me
2400:8904::f03c:92ff:fe29:cb19 #dns.therifleman.name
2400:8907::f03c:92ff:fe22:1d13 #dns.p55k.com
2400:89c0:1053:3::50 #dns.weibo.cn
2400:89c0:1053:3::51 #dns.weibo.cn
2400:c400:1002:11:fed:bee0:4433:6fb0 #dns1.slowb.ro
2400:c401:1002:11:bee:cee:958c:873b #adl01.dnscry.pt
2400:c401::5054:ff:fe1b:b036 #adl.adfilter.net
2400:d321:2191:8363::1 #dns.albony.xyz
2400:ddc0:b000::2 #jp-kix.doh.sb
2401:2500:102:3018:153:126:164:227 #vpn.nnip.org
2401:2500:204:1131:153:127:67:108 #dns.sark.dev
2401:4520:1122::a #sin02.dnscry.pt
2401:b180:1:60::5 #dns.aliyun.com
2401:b180:1:60::6 #dns.aliyun.com
2401:b180:7001::31b #resolvers-cn.httpdns.aliyuncs.com
2401:b60:5:2b73:1b0c:4411:4dd4:e131 #hk-adg.bluenight.me
2401:c080:2400:269c:5400:4ff:fef2:9529 #dns-mum.daryllswer.net
2401:c080:3000:24ff:5400:4ff:fef7:a13f #dns-blr.daryllswer.net
2401:c080:3000:330e:5400:4ff:fec6:e98b #dns.daryllswer.net
2401:d4e0:1:f7fd::53 #blr01.dnscry.pt
2401:f2e0:0:102::14 #mnl01.dnscry.pt
2402:1f00:8000:800::2fa1 #lime.samonte.ovh
2402:1f00:8000:800::794 #adblock.krctech.dev
2402:1f00:8001:d34::1 #doh.best
2402:4e00:1019:5900:0:98d6:e872:994f #fanscloud.net
2402:4e00:1019:5900:0:98d6:e872:994f #www.fanscloud.net
2402:4e00:b1:fff::d7 #paydns.wechatpay.cn
2402:4e00:b1:fff::d8 #paydns.wechatpay.cn
2402:4e00:b1:fff::d9 #paydns.weixin.qq.com
2402:4e00:b1:fff::da #paydns.weixin.qq.com
2402:4e00:b2:fff::15 #paydns.wechatpay.cn
2402:4e00:b2:fff::16 #paydns.wechatpay.cn
2402:4e00:b2:fff::17 #paydns.weixin.qq.com
2402:4e00:b2:fff::1e #paydns.weixin.qq.com
2402:4e00:c000:1000:1624:8f1e:2dc:0 #ad.kone.ink
2402:4e00:c032:3600:3828:473c:c096:0 #dns.zoogle.cn
2402:4e00:c050:2800:e4e:cf0e:740c:1 #dns.beardic.cn
2402:5ec0:1001:7129:: #apidns.kwd.inkuai.com
2402:5ec0:1001:8112:: #apidns.kwd.inkuai.com
2402:5ec0:1001:9117:: #apidns.kwd.inkuai.com
2402:5ec0:1001:f128:: #apidns.kwd.inkuai.com
2402:6880:2000:403:103:82:248:8 #host8.248.cloudhost.in.th
2402:6b00:f83e:9200:e71a:7e56:b675:aa36 #dns.yuu-g.net
2402:7340:5000:6200::a #syd02.dnscry.pt
2402:7340:8000::5 #mel01.dnscry.pt
2402:800:63b6:b79a:0:1fff:feb6:ccf0 #dns.valbatos.pro.vn
2402:a7c0:8100:a017::98:a #green3.jnraptor.net
2402:d0c0:16:a1e6:0:b893:bf7:dd #pdx01.dnscry.pt
2402:d0c0:18:c8ff:0:b893:bf7:dd #slc01.dnscry.pt
2402:d0c0:22:6cd0:4:4:4:5b81 #par01.dnscry.pt
2402:f000:1:416:101:6:6:6 #dns.tuna.tsinghua.edu.cn
2403:18c0:5:304:34e3:21ff:fe6c:63b3 #dns.hub.com.de
2403:2c80::26 #hk-hkg.doh.sb
2403:3a00:107:29:133:167:212:21 #adfiltro.fun
2403:3a00:107:29:133:167:212:21 #alleesph.online
2403:3a00:107:29:133:167:212:21 #dns.futuredns.me
2403:3a00:107:29:133:167:212:21 #dns.lightmaster.pw
2403:3a00:107:29:133:167:212:21 #doh.cnetwork.cloud
2403:3a00:107:29:133:167:212:25 #3dcosas.xyz
2403:3a00:107:29:133:167:212:25 #affcdn.net
2403:3a00:107:29:133:167:212:25 #bestwon203.com
2403:3a00:107:29:133:167:212:25 #dns.guardmydns.com
2403:3a00:107:29:133:167:212:25 #dns.pernika.net
2403:3a00:107:29:133:167:212:25 #dnsnl.alekberg.net
2403:3a00:107:29:133:167:212:25 #drs.rustsword.com
2403:3a00:107:29:133:167:212:25 #edgy-dns.com
2403:3a00:107:29:133:167:212:25 #family.dns.doubleangels.com
2403:3a00:107:29:133:167:212:25 #gclouddns.com
2403:3a00:107:29:133:167:212:25 #hkname.freecdn.one
2403:3a00:107:29:133:167:212:25 #jcdns.fun
2403:3a00:107:29:133:167:212:25 #lion.yazilimatolye.com
2403:3a00:107:29:133:167:212:25 #lukscasino-479-tr.xyz
2403:3a00:107:29:133:167:212:25 #lukscasino-929-tr.xyz
2403:3a00:107:29:133:167:212:25 #mendozasdelivery.com
2403:3a00:107:29:133:167:212:25 #pashagame456.com
2403:3a00:107:29:133:167:212:25 #tecdrive.site
2403:3a00:107:29:133:167:212:25 #tk31z.com
2403:3a00:107:29:133:167:212:25 #tlz.asia
2403:3a00:107:29:133:167:212:25 #tuskythehusky.tech
2403:3a00:107:29:133:167:212:25 #vtcuong.site
2403:3a00:107:29:133:167:212:25 #wantaquddin.com
2403:3a00:107:29:133:167:212:25 #xorbiadns.com
